source,target,type,ID,weight
1,0,Undirected,0,1
2,0,Undirected,1,8
3,0,Undirected,2,10
3,2,Undirected,3,6
4,0,Undirected,4,1
5,0,Undirected,5,1
6,0,Undirected,6,1
7,0,Undirected,7,1
8,0,Undirected,8,2
9,0,Undirected,9,1
11,0,Undirected,10,5
11,2,Undirected,11,3
11,3,Undirected,12,3
11,10,Undirected,13,1
12,11,Undirected,14,1
13,11,Undirected,15,1
14,11,Undirected,16,1
15,11,Undirected,17,1
17,16,Undirected,18,4
18,16,Undirected,19,4
18,17,Undirected,20,4
19,16,Undirected,21,4
19,17,Undirected,22,4
19,18,Undirected,23,4
20,16,Undirected,24,3
20,17,Undirected,25,3
20,18,Undirected,26,3
20,19,Undirected,27,4
21,16,Undirected,28,3
21,17,Undirected,29,3
21,18,Undirected,30,3
21,19,Undirected,31,3
21,20,Undirected,32,5
22,16,Undirected,33,3
22,17,Undirected,34,3
22,18,Undirected,35,3
22,19,Undirected,36,3
22,20,Undirected,37,4
22,21,Undirected,38,4
23,11,Undirected,39,9
23,12,Undirected,40,2
23,16,Undirected,41,3
23,17,Undirected,42,3
23,18,Undirected,43,3
23,19,Undirected,44,3
23,20,Undirected,45,4
23,21,Undirected,46,4
23,22,Undirected,47,4
24,11,Undirected,48,7
24,23,Undirected,49,2
26,11,Undirected,50,31
26,16,Undirected,51,1
26,24,Undirected,52,4
26,25,Undirected,53,1
27,11,Undirected,54,17
27,23,Undirected,55,5
27,24,Undirected,56,1
27,26,Undirected,57,1
27,25,Undirected,58,5
28,11,Undirected,59,8
28,27,Undirected,60,1
29,11,Undirected,61,2
29,23,Undirected,62,1
29,27,Undirected,63,1
30,23,Undirected,64,1
31,11,Undirected,65,3
31,23,Undirected,66,2
31,27,Undirected,67,1
31,30,Undirected,68,2
32,11,Undirected,69,1
33,11,Undirected,70,2
33,27,Undirected,71,1
34,11,Undirected,72,3
34,29,Undirected,73,2
35,11,Undirected,74,3
35,29,Undirected,75,2
35,34,Undirected,76,3
36,11,Undirected,77,2
36,29,Undirected,78,1
36,34,Undirected,79,2
36,35,Undirected,80,2
37,11,Undirected,81,2
37,29,Undirected,82,1
37,34,Undirected,83,2
37,35,Undirected,84,2
37,36,Undirected,85,2
38,11,Undirected,86,2
38,29,Undirected,87,1
38,34,Undirected,88,2
38,35,Undirected,89,2
38,36,Undirected,90,2
38,37,Undirected,91,2
40,25,Undirected,92,1
41,24,Undirected,93,2
41,25,Undirected,94,3
42,24,Undirected,95,1
42,41,Undirected,96,2
42,25,Undirected,97,2
43,11,Undirected,98,3
43,26,Undirected,99,1
43,27,Undirected,100,1
44,11,Undirected,101,1
44,28,Undirected,102,3
45,28,Undirected,103,2
47,25,Undirected,104,1
48,11,Undirected,105,1
48,27,Undirected,106,1
48,47,Undirected,107,2
48,25,Undirected,108,1
50,24,Undirected,109,1
50,54,Undirected,110,1
51,11,Undirected,111,2
51,26,Undirected,112,2
51,54,Undirected,113,9
52,51,Undirected,114,1
52,55,Undirected,115,1
53,51,Undirected,116,1
56,55,Undirected,117,1
56,54,Undirected,118,1
57,41,Undirected,119,1
57,48,Undirected,120,1
57,55,Undirected,121,1
58,11,Undirected,122,4
58,27,Undirected,123,6
58,48,Undirected,124,7
58,57,Undirected,125,1
58,55,Undirected,126,7
59,48,Undirected,127,6
59,57,Undirected,128,2
59,58,Undirected,129,15
59,55,Undirected,130,5
60,48,Undirected,131,1
60,58,Undirected,132,4
60,59,Undirected,133,2
61,48,Undirected,134,2
61,57,Undirected,135,1
61,58,Undirected,136,6
61,59,Undirected,137,5
61,60,Undirected,138,2
61,55,Undirected,139,1
62,41,Undirected,140,1
62,48,Undirected,141,7
62,57,Undirected,142,2
62,58,Undirected,143,17
62,59,Undirected,144,13
62,60,Undirected,145,3
62,61,Undirected,146,6
62,55,Undirected,147,9
63,48,Undirected,148,5
63,57,Undirected,149,2
63,58,Undirected,150,4
63,59,Undirected,151,5
63,60,Undirected,152,2
63,61,Undirected,153,3
63,62,Undirected,154,6
63,55,Undirected,155,1
64,11,Undirected,156,1
64,48,Undirected,157,5
64,57,Undirected,158,1
64,58,Undirected,159,10
64,59,Undirected,160,9
64,60,Undirected,161,2
64,61,Undirected,162,6
64,62,Undirected,163,12
64,63,Undirected,164,4
64,55,Undirected,165,5
65,48,Undirected,166,3
65,57,Undirected,167,1
65,58,Undirected,168,5
65,59,Undirected,169,5
65,60,Undirected,170,2
65,61,Undirected,171,5
65,62,Undirected,172,5
65,63,Undirected,173,5
65,64,Undirected,174,7
65,55,Undirected,175,2
66,48,Undirected,176,1
66,58,Undirected,177,3
66,59,Undirected,178,1
66,60,Undirected,179,1
66,61,Undirected,180,1
66,62,Undirected,181,2
66,63,Undirected,182,1
66,64,Undirected,183,3
66,65,Undirected,184,2
67,57,Undirected,185,3
68,11,Undirected,186,1
68,24,Undirected,187,1
68,27,Undirected,188,1
68,41,Undirected,189,1
68,48,Undirected,190,1
68,25,Undirected,191,5
69,11,Undirected,192,1
69,24,Undirected,193,1
69,27,Undirected,194,2
69,41,Undirected,195,1
69,48,Undirected,196,1
69,68,Undirected,197,6
69,25,Undirected,198,6
70,11,Undirected,199,1
70,24,Undirected,200,1
70,27,Undirected,201,1
70,41,Undirected,202,1
70,58,Undirected,203,1
70,68,Undirected,204,4
70,69,Undirected,205,4
70,25,Undirected,206,4
71,11,Undirected,207,1
71,27,Undirected,208,1
71,41,Undirected,209,1
71,48,Undirected,210,1
71,68,Undirected,211,2
71,69,Undirected,212,2
71,70,Undirected,213,2
71,25,Undirected,214,1
72,11,Undirected,215,1
72,26,Undirected,216,2
72,27,Undirected,217,1
73,48,Undirected,218,2
74,48,Undirected,219,2
74,73,Undirected,220,3
75,41,Undirected,221,1
75,48,Undirected,222,1
75,68,Undirected,223,3
75,69,Undirected,224,3
75,70,Undirected,225,1
75,71,Undirected,226,1
75,25,Undirected,227,3
76,48,Undirected,228,1
76,58,Undirected,229,1
76,62,Undirected,230,1
76,63,Undirected,231,1
76,64,Undirected,232,1
76,65,Undirected,233,1
76,66,Undirected,234,1
55,11,Undirected,235,19
55,16,Undirected,236,1
55,26,Undirected,237,21
55,41,Undirected,238,5
55,48,Undirected,239,4
55,51,Undirected,240,6
55,25,Undirected,241,2
55,54,Undirected,242,12
25,11,Undirected,243,12
25,23,Undirected,244,1
25,24,Undirected,245,13
54,11,Undirected,246,2
54,26,Undirected,247,3
